;Datum;Von;bis;MW
Maximum;22.01.2021;08:15;08:30;17333,000
Minimum;16.05.2021;04:15;04:30;5046,000

"Datum";"Von";"bis";"MW";
01.01.2021;00:00;00:15;10.239;
01.01.2021;00:15;00:30;10.150;
01.01.2021;00:30;00:45;10.160;
01.01.2021;00:45;01:00;10.201;
01.01.2021;01:00;01:15;10.151;
01.01.2021;01:15;01:30;10.119;
01.01.2021;01:30;01:45;10.154;
01.01.2021;01:45;02:00;10.173;
01.01.2021;02:00;02:15;10.384;
01.01.2021;02:15;02:30;10.348;
01.01.2021;02:30;02:45;10.339;
01.01.2021;02:45;03:00;10.274;
01.01.2021;03:00;03:15;10.345;
01.01.2021;03:15;03:30;10.346;
01.01.2021;03:30;03:45;10.346;
01.01.2021;03:45;04:00;10.368;
01.01.2021;04:00;04:15;10.542;
01.01.2021;04:15;04:30;10.514;
01.01.2021;04:30;04:45;10.416;
01.01.2021;04:45;05:00;10.354;
01.01.2021;05:00;05:15;10.426;
01.01.2021;05:15;05:30;10.391;
01.01.2021;05:30;05:45;10.390;
01.01.2021;05:45;06:00;10.407;
01.01.2021;06:00;06:15;10.431;
01.01.2021;06:15;06:30;10.403;
01.01.2021;06:30;06:45;10.425;
01.01.2021;06:45;07:00;10.425;
01.01.2021;07:00;07:15;10.426;
01.01.2021;07:15;07:30;10.420;
01.01.2021;07:30;07:45;10.399;
01.01.2021;07:45;08:00;10.387;
01.01.2021;08:00;08:15;10.258;
01.01.2021;08:15;08:30;10.129;
01.01.2021;08:30;08:45;10.060;
01.01.2021;08:45;09:00;10.035;
01.01.2021;09:00;09:15;10.028;
01.01.2021;09:15;09:30;10.109;
01.01.2021;09:30;09:45;10.121;
01.01.2021;09:45;10:00;10.086;
01.01.2021;10:00;10:15;10.017;
01.01.2021;10:15;10:30;9.996;
01.01.2021;10:30;10:45;10.093;
01.01.2021;10:45;11:00;10.114;
01.01.2021;11:00;11:15;10.178;
01.01.2021;11:15;11:30;10.157;
01.01.2021;11:30;11:45;10.128;
01.01.2021;11:45;12:00;10.095;
01.01.2021;12:00;12:15;10.275;
01.01.2021;12:15;12:30;10.331;
01.01.2021;12:30;12:45;10.420;
01.01.2021;12:45;13:00;10.349;
01.01.2021;13:00;13:15;10.385;
01.01.2021;13:15;13:30;10.386;
01.01.2021;13:30;13:45;10.392;
01.01.2021;13:45;14:00;10.364;
01.01.2021;14:00;14:15;10.195;
01.01.2021;14:15;14:30;10.166;
01.01.2021;14:30;14:45;10.164;
01.01.2021;14:45;15:00;10.053;
01.01.2021;15:00;15:15;10.051;
01.01.2021;15:15;15:30;10.087;
01.01.2021;15:30;15:45;10.062;
01.01.2021;15:45;16:00;10.039;
01.01.2021;16:00;16:15;9.911;
01.01.2021;16:15;16:30;9.940;
01.01.2021;16:30;16:45;10.022;
01.01.2021;16:45;17:00;10.083;
01.01.2021;17:00;17:15;11.088;
01.01.2021;17:15;17:30;11.483;
01.01.2021;17:30;17:45;11.542;
01.01.2021;17:45;18:00;11.583;
01.01.2021;18:00;18:15;11.507;
01.01.2021;18:15;18:30;11.548;
01.01.2021;18:30;18:45;11.571;
01.01.2021;18:45;19:00;11.602;
01.01.2021;19:00;19:15;11.667;
01.01.2021;19:15;19:30;11.718;
01.01.2021;19:30;19:45;11.823;
01.01.2021;19:45;20:00;11.759;
01.01.2021;20:00;20:15;10.811;
01.01.2021;20:15;20:30;10.845;
01.01.2021;20:30;20:45;10.849;
01.01.2021;20:45;21:00;10.916;
01.01.2021;21:00;21:15;10.833;
01.01.2021;21:15;21:30;10.766;
01.01.2021;21:30;21:45;10.743;
01.01.2021;21:45;22:00;10.750;
01.01.2021;22:00;22:15;10.607;
01.01.2021;22:15;22:30;10.576;
01.01.2021;22:30;22:45;10.727;
01.01.2021;22:45;23:00;10.843;
01.01.2021;23:00;23:15;10.881;
01.01.2021;23:15;23:30;10.760;
01.01.2021;23:30;23:45;10.990;
01.01.2021;23:45;00:00;10.938;
02.01.2021;00:00;00:15;11.150;
02.01.2021;00:15;00:30;11.548;
02.01.2021;00:30;00:45;11.658;
02.01.2021;00:45;01:00;11.737;
02.01.2021;01:00;01:15;11.793;
02.01.2021;01:15;01:30;11.709;
02.01.2021;01:30;01:45;11.708;
02.01.2021;01:45;02:00;11.508;
02.01.2021;02:00;02:15;11.571;
02.01.2021;02:15;02:30;11.477;
02.01.2021;02:30;02:45;11.555;
02.01.2021;02:45;03:00;11.492;
02.01.2021;03:00;03:15;11.390;
02.01.2021;03:15;03:30;11.359;
02.01.2021;03:30;03:45;11.312;
02.01.2021;03:45;04:00;11.368;
02.01.2021;04:00;04:15;11.433;
02.01.2021;04:15;04:30;11.396;
02.01.2021;04:30;04:45;11.392;
02.01.2021;04:45;05:00;11.434;
02.01.2021;05:00;05:15;11.520;
